baseline_method,baseline_type,count,percentage,cumulative_percentage
hybrid k-NN,TS,1,0.09,96.03
F1 Model,SC,1,0.09,96.12
ETKF-Q,SC,1,0.09,96.21
SAPS-II,TS,1,0.09,96.3
CFS,SC,1,0.09,96.39
Barotropic Vorticity Model,SC,1,0.09,96.48
ImPACT_BDT,TS,1,0.09,96.57
EM,SC,1,0.09,96.66
PR92 Model,SC,1,0.09,96.75
Bayesian analysis + XES,SC,1,0.09,96.84
STA/LTA,TS,1,0.09,96.93
DTR,TS,1,0.09,97.02
Radiance Model,SC,1,0.09,97.11
SGD,TS,1,0.09,97.2
Gaussian Process Regressor,TS,1,0.09,97.29
FDTD,SC,1,0.09,97.38
KSVD,TS,1,0.09,97.47
FVFDM,SC,1,0.09,97.56
Transformer-based Model,TS,1,0.09,97.65
HoneyBee Daylight Model,SC,1,0.09,97.74
ODP,TS,1,0.09,97.83
FMM (Fast Marching Method),SC,1,0.09,97.92
JMA Manual Picks,TS,1,0.09,98.01
FilterPicker,TS,1,0.09,98.1
Kurtosis,TS,1,0.09,98.19
AFQ Browser (linear z-score),TS,1,0.09,98.28
Markov Chain Monte Carlo,SC,1,0.09,98.37
PCA with Mahalanobis distance,TS,1,0.09,98.46
Handcrafted Features Baseline,TS,1,0.09,98.55
EPANET-GA,SC,1,0.09,98.64
Structural Homology Baseline,SC,1,0.09,98.73
Lasso Regression,TS,1,0.09,98.82
ELCIRC,SC,1,0.09,98.91
Traditional Force Fields (TFF),SC,1,0.09,99.0
G4MP2A,SC,1,0.09,99.09
LOESS,TS,1,0.09,99.18
Projection Pursuit Regression (PPR),TS,1,0.09,99.27
Pseudo-spectral Model,SC,1,0.09,99.36
Interior-Point Model,SC,1,0.09,99.45
GB (Pearson Matrix),TS,1,0.09,99.54
Branching Diffusion Model,SC,1,0.09,99.63
Neural Networks (Other),TS,1,0.09,99.72
